"CASENO","SEVERITY","ACCDATE","ACCTIME","NOVEH","NOINJ","NOKILLED","INNEAR","COMMNAME","UGRID","USTREET1","USTREET2","UBLOCK","ROADAUTH","CTRLSECT","ATKM","RM","SIDEOF","QTR","SEC","TWP","RGE","MER","OTHERLOC","lookup_str","lat","lon"
1449823,"INJURY","2003-07-03",1700,2,1,0,"IN","REGINA","RE705130","MCCARTHY BLVD","SHERWOOD DR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","MCCARTHY BLVD and SHERWOOD DR, REGINA, Saskatchewan",50.477015,-104.664059
1348169,"INJURY","2003-07-08",9999,2,1,0,"IN","REGINA","RE689160","ALBERT ST","REGINA AVE",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","ALBERT ST and REGINA AVE, REGINA, Saskatchewan",50.4348941,-104.618116
1334760,"INJURY","2003-07-08",2217,2,1,0,"IN","REGINA","RE3","BACK ALLEY","",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","BACK ALLEY and , REGINA, Saskatchewan",50.4222999,-104.5248806
1347489,"INJURY","2003-07-09",1620,2,1,0,"IN","REGINA","RE701220","GORDON RD","RICHARDSON CR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","GORDON RD and RICHARDSON CR, REGINA, Saskatchewan",50.4045014,-104.6160443
1346876,"INJURY","2003-07-14",1430,2,1,0,"IN","REGINA","RE680010","1ST AVE N","WASCANA ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","1ST AVE N and WASCANA ST, REGINA, Saskatchewan",50.4708473,-104.6398564
1347943,"INJURY","2003-07-14",930,2,1,0,"IN","REGINA","RE3","BACK ALLEY","",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","BACK ALLEY and , REGINA, Saskatchewan",50.4222999,-104.5248806
1142735,"INJURY","2003-07-15",1400,2,1,0,"IN","REGINA","RE155300","14TH AVE","900E-1199E",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","1049 14TH AVE, REGINA, Saskatchewan",NA,NA
1335056,"INJURY","2003-07-18",937,2,1,0,"IN","REGINA","RE3","BACK ALLEY","",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","BACK ALLEY and , REGINA, Saskatchewan",NA,NA
1313547,"INJURY","2003-07-20",1237,2,1,0,"IN","REGINA","RE675040","10TH AVE","ELPHINSTONE ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","10TH AVE and ELPHINSTONE ST, REGINA, Saskatchewan",NA,NA
1335079,"INJURY","2003-07-23",1930,2,1,0,"IN","REGINA","RE439350","VICTORIA AVE","600E-750E",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","675 VICTORIA AVE, REGINA, Saskatchewan",50.4471347,-104.5753451
